date,followers
3-Mar-17,25864254
2-Mar-17,25814206
1-Mar-17,25776658
28-Feb-17,25724293
27-Feb-17,25658152
26-Feb-17,25559555
25-Feb-17,25506870
24-Feb-17,25461980
23-Feb-17,25397085
22-Feb-17,25370561
21-Feb-17,25315726
20-Feb-17,25244403
19-Feb-17,25174748
18-Feb-17,25107007
17-Feb-17,25037668
16-Feb-17,24941056
15-Feb-17,24859984
14-Feb-17,24797561
13-Feb-17,24732772
12-Feb-17,24632512
11-Feb-17,24535874
10-Feb-17,24424684
9-Feb-17,24286755
8-Feb-17,24173477
7-Feb-17,24073771
6-Feb-17,23943671
5-Feb-17,23762499
4-Feb-17,23582133
3-Feb-17,23401020
2-Feb-17,23254312
1-Feb-17,23137505
31-Jan-17,23003305
30-Jan-17,22826995
29-Jan-17,22649400
28-Jan-17,22513938
27-Jan-17,22363356
26-Jan-17,22129140
25-Jan-17,21888623
24-Jan-17,21723788
23-Jan-17,21555023
22-Jan-17,21259787
21-Jan-17,20944848
20-Jan-17,20473504
19-Jan-17,20328306
18-Jan-17,20211203
17-Jan-17,20099144
16-Jan-17,19984218
15-Jan-17,19883334
14-Jan-17,19789844
13-Jan-17,19701794
12-Jan-17,19590367
11-Jan-17,19428804
10-Jan-17,19297777
9-Jan-17,19128003
8-Jan-17,19027177
7-Jan-17,18923819
6-Jan-17,18781552
5-Jan-17,18673893
4-Jan-17,18573049
3-Jan-17,18462803
2-Jan-17,18387782
1-Jan-17,18315669
