date,followers
31-Dec-15,5493425
30-Dec-15,5483551
29-Dec-15,5469846
28-Dec-15,5456651
27-Dec-15,5446152
26-Dec-15,5435362
25-Dec-15,5424534
24-Dec-15,5411333
23-Dec-15,5397456
22-Dec-15,5385201
21-Dec-15,5367663
20-Dec-15,5353791
19-Dec-15,5339379
18-Dec-15,5328468
17-Dec-15,5316926
16-Dec-15,5301307
15-Dec-15,5282993
14-Dec-15,5270340
13-Dec-15,5256843
12-Dec-15,5238647
11-Dec-15,5219465
10-Dec-15,5192781
9-Dec-15,5162202
8-Dec-15,5130175
7-Dec-15,5110587
6-Dec-15,5090675
5-Dec-15,5082837
4-Dec-15,5073984
3-Dec-15,5063434
2-Dec-15,5051348
1-Dec-15,5042064
30-Nov-15,5033780
29-Nov-15,5027872
28-Nov-15,5021482
27-Nov-15,5014959
26-Nov-15,5005339
25-Nov-15,4997927
24-Nov-15,4987764
23-Nov-15,4975323
22-Nov-15,4964095
21-Nov-15,4955586
20-Nov-15,4942938
19-Nov-15,4926550
18-Nov-15,4915875
17-Nov-15,4897319
16-Nov-15,4880666
15-Nov-15,4861361
14-Nov-15,4837082
13-Nov-15,4813105
12-Nov-15,4805728
11-Nov-15,4798340
10-Nov-15,4789380
9-Nov-15,4782231
8-Nov-15,4772015
7-Nov-15,4750541
6-Nov-15,4743011
5-Nov-15,4736209
4-Nov-15,4727647
3-Nov-15,4721506
2-Nov-15,4715175
1-Nov-15,4708921
31-Oct-15,4704261
30-Oct-15,4697995
29-Oct-15,4691138
28-Oct-15,4678578
27-Oct-15,4671863
26-Oct-15,4663955
25-Oct-15,4658904
24-Oct-15,4652930
23-Oct-15,4645950
22-Oct-15,4637286
21-Oct-15,4629260
20-Oct-15,4622490
19-Oct-15,4613321
18-Oct-15,4608007
17-Oct-15,4599308
16-Oct-15,4590526
15-Oct-15,4578690
14-Oct-15,4553955
13-Oct-15,4402138
12-Oct-15,4395457
11-Oct-15,4389488
10-Oct-15,4384009
9-Oct-15,4378373
8-Oct-15,4372010
7-Oct-15,4365161
6-Oct-15,4358651
5-Oct-15,4350525
4-Oct-15,4345654
3-Oct-15,4340943
2-Oct-15,4335730
1-Oct-15,4329179
30-Sep-15,4321303
29-Sep-15,4313022
28-Sep-15,4304747
27-Sep-15,4297994
26-Sep-15,4290743
25-Sep-15,4283630
24-Sep-15,4271993
23-Sep-15,4257808
22-Sep-15,4246150
21-Sep-15,4232617
20-Sep-15,4222427
19-Sep-15,4205648
18-Sep-15,4193808
17-Sep-15,4175602
16-Sep-15,4150897
15-Sep-15,4141469
14-Sep-15,4132396
13-Sep-15,4124762
12-Sep-15,4118447
11-Sep-15,4106310
10-Sep-15,4096750
9-Sep-15,4086700
8-Sep-15,4078969
7-Sep-15,4071187
6-Sep-15,4061999
5-Sep-15,4051472
4-Sep-15,4042328
3-Sep-15,4026043
2-Sep-15,4012511
1-Sep-15,3994552
31-Aug-15,3976875
30-Aug-15,3962556
29-Aug-15,3951054
28-Aug-15,3937888
27-Aug-15,3922230
26-Aug-15,3898698
25-Aug-15,3863052
24-Aug-15,3848651
23-Aug-15,3833571
22-Aug-15,3818784
21-Aug-15,3801989
20-Aug-15,3789129
19-Aug-15,3775216
18-Aug-15,3759401
17-Aug-15,3747789
16-Aug-15,3735760
15-Aug-15,3724229
14-Aug-15,3712077
13-Aug-15,3699854
12-Aug-15,3684101
11-Aug-15,3660751
10-Aug-15,3635998
9-Aug-15,3611118
8-Aug-15,3569009
7-Aug-15,3500349
6-Aug-15,3452597
5-Aug-15,3441038
4-Aug-15,3428153
3-Aug-15,3419559
2-Aug-15,3411313
1-Aug-15,3405640
31-Jul-15,3399621
30-Jul-15,3389713
29-Jul-15,3376045
28-Jul-15,3362518
27-Jul-15,3353742
26-Jul-15,3347685
25-Jul-15,3340884
24-Jul-15,3330799
23-Jul-15,3317688
22-Jul-15,3304804
21-Jul-15,3292767
20-Jul-15,3283166
19-Jul-15,3269999
18-Jul-15,3251645
17-Jul-15,3237517
16-Jul-15,3226134
15-Jul-15,3214043
14-Jul-15,3193020
13-Jul-15,3163199
12-Jul-15,3149544
11-Jul-15,3143139
10-Jul-15,3136785
9-Jul-15,3128406
8-Jul-15,3121415
7-Jul-15,3114342
6-Jul-15,3106919
5-Jul-15,3099594
4-Jul-15,3095516
3-Jul-15,3090464
2-Jul-15,3084085
1-Jul-15,3074815
30-Jun-15,3068296
29-Jun-15,3061458
28-Jun-15,3058679
27-Jun-15,3054661
26-Jun-15,3048690
25-Jun-15,3040830
24-Jun-15,3037789
23-Jun-15,3030113
22-Jun-15,3027733
21-Jun-15,3025333
20-Jun-15,3021258
19-Jun-15,3017118
18-Jun-15,3010150
17-Jun-15,2992759
16-Jun-15,2959315
15-Jun-15,2957264
