date,follower_count
3-Mar-17,25864254
2-Mar-17,25814206
1-Mar-17,25776658
28-Feb-17,25724293
27-Feb-17,25658152
26-Feb-17,25559555
25-Feb-17,25506870
24-Feb-17,25461980
23-Feb-17,25397085
22-Feb-17,25370561
21-Feb-17,25315726
20-Feb-17,25244403
19-Feb-17,25174748
18-Feb-17,25107007
17-Feb-17,25037668
16-Feb-17,24941056
15-Feb-17,24859984
14-Feb-17,24797561
13-Feb-17,24732772
12-Feb-17,24632512
11-Feb-17,24535874
10-Feb-17,24424684
9-Feb-17,24286755
8-Feb-17,24173477
7-Feb-17,24073771
6-Feb-17,23943671
5-Feb-17,23762499
4-Feb-17,23582133
3-Feb-17,23401020
2-Feb-17,23254312
1-Feb-17,23137505
31-Jan-17,23003305
30-Jan-17,22826995
29-Jan-17,22649400
28-Jan-17,22513938
27-Jan-17,22363356
26-Jan-17,22129140
25-Jan-17,21888623
24-Jan-17,21723788
23-Jan-17,21555023
22-Jan-17,21259787
21-Jan-17,20944848
20-Jan-17,20473504
19-Jan-17,20328306
18-Jan-17,20211203
17-Jan-17,20099144
16-Jan-17,19984218
15-Jan-17,19883334
14-Jan-17,19789844
13-Jan-17,19701794
12-Jan-17,19590367
11-Jan-17,19428804
10-Jan-17,19297777
9-Jan-17,19128003
8-Jan-17,19027177
7-Jan-17,18923819
6-Jan-17,18781552
5-Jan-17,18673893
4-Jan-17,18573049
3-Jan-17,18462803
2-Jan-17,18387782
1-Jan-17,18315669
31-Dec-16,18221859
30-Dec-16,18154033
29-Dec-16,18096271
28-Dec-16,18028988
27-Dec-16,17968705
26-Dec-16,17917287
25-Dec-16,17868253
24-Dec-16,17814112
23-Dec-16,17734172
22-Dec-16,17677611
21-Dec-16,17632675
20-Dec-16,17576277
19-Dec-16,17512664
18-Dec-16,17442499
17-Dec-16,17384065
16-Dec-16,17345004
15-Dec-16,17306794
14-Dec-16,17258122
13-Dec-16,17216264
12-Dec-16,17162409
11-Dec-16,17117456
10-Dec-16,17070908
9-Dec-16,17025474
8-Dec-16,16962672
7-Dec-16,16881956
6-Dec-16,16787074
5-Dec-16,16686442
4-Dec-16,16585765
3-Dec-16,16523349
2-Dec-16,16470883
1-Dec-16,16421109
30-Nov-16,16345332
29-Nov-16,16238030
28-Nov-16,16167908
27-Nov-16,16093044
26-Nov-16,15994604
25-Nov-16,15941600
24-Nov-16,15877768
23-Nov-16,15818014
22-Nov-16,15702412
21-Nov-16,15627758
20-Nov-16,15529374
19-Nov-16,15437979
18-Nov-16,15380645
17-Nov-16,15312370
16-Nov-16,15198823
15-Nov-16,15097518
14-Nov-16,14981797
13-Nov-16,14796462
12-Nov-16,14658517
11-Nov-16,14363318
10-Nov-16,14095094
9-Nov-16,13293987
8-Nov-16,13018832
7-Nov-16,12977956
6-Nov-16,12953403
5-Nov-16,12928011
4-Nov-16,12907382
3-Nov-16,12885569
2-Nov-16,12862151
1-Nov-16,12841166
31-Oct-16,12823144
30-Oct-16,12802286
29-Oct-16,12783707
28-Oct-16,12762584
27-Oct-16,12744531
26-Oct-16,12724571
25-Oct-16,12705644
24-Oct-16,12686641
23-Oct-16,12667596
22-Oct-16,12647592
21-Oct-16,12628512
20-Oct-16,12596823
19-Oct-16,12559650
18-Oct-16,12539621
17-Oct-16,12512897
16-Oct-16,12482072
15-Oct-16,12460533
14-Oct-16,12441541
13-Oct-16,12412723
12-Oct-16,12378494
11-Oct-16,12319479
10-Oct-16,12270866
9-Oct-16,12196001
8-Oct-16,12158349
7-Oct-16,12137763
6-Oct-16,12121749
5-Oct-16,12102188
4-Oct-16,12032498
3-Oct-16,12011183
2-Oct-16,11982957
1-Oct-16,11955011
30-Sep-16,11908429
29-Sep-16,11887719
28-Sep-16,11863648
27-Sep-16,11808549
26-Sep-16,11729341
25-Sep-16,11711425
24-Sep-16,11694900
23-Sep-16,11678938
22-Sep-16,11662347
21-Sep-16,11645334
20-Sep-16,11624193
19-Sep-16,11604620
18-Sep-16,11583693
17-Sep-16,11562687
16-Sep-16,11542526
15-Sep-16,11522645
14-Sep-16,11504427
13-Sep-16,11478998
12-Sep-16,11458702
11-Sep-16,11435312
10-Sep-16,11415520
9-Sep-16,11396241
8-Sep-16,11381482
7-Sep-16,11360984
6-Sep-16,11344242
