a,keeps,t
able,kept,take
about,kg,taken
above,km,taking
abst,know,tell
accordance,known,tends
according,knows,th
accordingly,l,than
across,largely,thank
act,last,thanks
actually,lately,thanx
added,later,that
adj,latter,that'll
affected,latterly,thats
affecting,least,that've
affects,less,the
after,lest,their
afterwards,let,theirs
again,lets,them
against,like,themselves
ah,liked,then
all,likely,thence
almost,line,there
alone,little,thereafter
along,'ll,thereby
already,look,thered
also,looking,therefore
although,looks,therein
always,ltd,there'll
am,m,thereof
among,made,therere
amongst,mainly,theres
an,make,thereto
and,makes,thereupon
announce,many,there've
another,may,these
any,maybe,they
anybody,me,theyd
anyhow,mean,they'll
anymore,means,theyre
anyone,meantime,they've
anything,meanwhile,think
anyway,merely,this
anyways,mg,those
anywhere,might,thou
apparently,million,though
approximately,miss,thoughh
are,ml,thousand
aren,more,throug
arent,moreover,through
arise,most,throughout
around,mostly,thru
as,mr,thus
aside,mrs,til
ask,much,tip
asking,mug,to
at,must,together
auth,my,too
available,myself,took
away,n,toward
awfully,na,towards
b,name,tried
back,namely,tries
be,nay,truly
became,nd,try
because,near,trying
become,nearly,ts
becomes,necessarily,twice
becoming,necessary,two
been,need,u
before,needs,un
beforehand,neither,under
begin,never,unfortunately
beginning,nevertheless,unless
beginnings,new,unlike
begins,next,unlikely
behind,nine,until
being,ninety,unto
believe,no,up
below,nobody,upon
beside,non,ups
besides,none,us
between,nonetheless,use
beyond,noone,used
biol,nor,useful
both,normally,usefully
brief,nos,usefulness
briefly,not,uses
but,noted,using
by,nothing,usually
c,now,v
ca,nowhere,value
came,o,various
can,obtain,'ve
cannot,obtained,very
can't,obviously,via
cause,of,viz
causes,off,vol
certain,often,vols
certainly,oh,vs
co,ok,w
com,okay,want
come,old,wants
comes,omitted,was
contain,on,wasnt
containing,once,way
contains,one,we
could,ones,wed
couldnt,only,welcome
d,onto,we'll
date,or,went
did,ord,were
didn't,other,werent
different,others,we've
do,otherwise,what
does,ought,whatever
doesn't,our,what'll
doing,ours,whats
done,ourselves,when
don't,out,whence
down,outside,whenever
downwards,over,where
due,overall,whereafter
during,owing,whereas
e,own,whereby
each,p,wherein
ed,page,wheres
edu,pages,whereupon
effect,part,wherever
eg,particular,whether
eight,particularly,which
eighty,past,while
either,per,whim
else,perhaps,whither
elsewhere,placed,who
end,please,whod
ending,plus,whoever
enough,poorly,whole
especially,possible,who'll
et,possibly,whom
et-al,potentially,whomever
etc,pp,whos
even,predominantly,whose
ever,present,why
every,previously,widely
everybody,primarily,willing
everyone,probably,wish
everything,promptly,with
everywhere,proud,within
ex,provides,without
except,put,wont
f,q,words
far,que,world
few,quickly,would
ff,quite,wouldnt
fifth,qv,www
first,r,x
five,ran,y
fix,rather,yes
followed,rd,yet
following,re,you
follows,readily,youd
for,really,you'll
former,recent,your
formerly,recently,youre
forth,ref,yours
found,refs,yourself
four,regarding,yourselves
from,regardless,you've
further,regards,z
furthermore,related,zero
g,relatively,
gave,research,
get,respectively,
gets,resulted,
getting,resulting,
give,results,
given,right,
gives,run,
giving,s,
go,said,
goes,same,
gone,saw,
got,say,
gotten,saying,
h,says,
had,sec,
happens,section,
hardly,see,
has,seeing,
hasn't,seem,
have,seemed,
haven't,seeming,
having,seems,
he,seen,
hed,self,
hence,selves,
her,sent,
here,seven,
hereafter,several,
hereby,shall,
herein,she,
heres,shed,
hereupon,she'll,
hers,shes,
herself,should,
hes,shouldn't,
hi,show,
hid,showed,
him,shown,
himself,showns,
his,shows,
hither,significant,
home,significantly,
how,similar,
howbeit,similarly,
however,since,
hundred,six,
i,slightly,
id,so,
ie,some,
if,somebody,
i'll,somehow,
im,someone,
immediate,somethan,
immediately,something,
importance,sometime,
important,sometimes,
in,somewhat,
inc,somewhere,
indeed,soon,
index,sorry,
information,specifically,
instead,specified,
into,specify,
invention,specifying,
inward,still,
is,stop,
isn't,strongly,
it,sub,
itd,substantially,
it'll,successfully,
its,such,
itself,sufficiently,
i've,suggest,
j,sup,
just,sure,
k,,
keep,,
